Date,Open,High,Low,Close,Adj Close,Volume
10/30/2019,143.520004,145,142.789993,144.610001,141.423401,18496600
10/31/2019,144.899994,144.929993,142.990005,143.369995,140.210724,24605100
11/1/2019,144.259995,144.419998,142.970001,143.720001,140.553009,33128400
11/4/2019,144.830002,145,144.160004,144.550003,141.364731,16912000
11/5/2019,144.970001,145.020004,143.910004,144.460007,141.276718,18250200
11/6/2019,144.369995,144.520004,143.199997,144.059998,140.885498,16575800
11/7/2019,143.839996,144.880005,143.770004,144.259995,141.081085,17786700
11/8/2019,143.979996,145.990005,143.759995,145.960007,142.743668,16732700
11/11/2019,145.339996,146.419998,144.729996,146.110001,142.89035,14362600
11/12/2019,146.279999,147.570007,146.059998,147.070007,143.829224,18641600
11/13/2019,146.740005,147.460007,146.279999,147.309998,144.063873,16919200
11/14/2019,147.020004,148.410004,147,148.059998,144.797363,19729800
11/15/2019,148.929993,149.990005,148.270004,149.970001,146.665268,23485700
11/18/2019,150.070007,150.550003,148.979996,150.339996,147.02713,21534000
11/19/2019,150.880005,151.330002,150.199997,150.389999,147.076035,23935700
11/20/2019,150.309998,150.839996,148.460007,149.619995,146.820908,25696800
11/21/2019,149.399994,149.800003,148.5,149.479996,146.683517,18576100
11/22/2019,150.070007,150.300003,148.820007,149.589996,146.791443,15901800
11/25/2019,150,151.350006,149.919998,151.229996,148.400787,22420900
11/26/2019,151.360001,152.419998,151.320007,152.029999,149.185806,24620100
11/27/2019,152.330002,152.5,151.520004,152.320007,149.470383,15184400
11/29/2019,152.100006,152.300003,151.279999,151.380005,148.547974,11977300
12/2/2019,151.809998,151.830002,148.320007,149.550003,146.752213,27418400
12/3/2019,147.490005,149.429993,146.649994,149.309998,146.516693,24066000
12/4/2019,150.139999,150.179993,149.199997,149.850006,147.046585,17574700
12/5/2019,150.050003,150.320007,149.479996,149.929993,147.125076,17869100
12/6/2019,150.990005,151.869995,150.270004,151.75,148.911041,16403500
12/9/2019,151.070007,152.210007,150.910004,151.360001,148.528351,16687400
12/10/2019,151.289993,151.889999,150.759995,151.130005,148.302673,16476100
12/11/2019,151.539993,151.869995,150.330002,151.699997,148.861984,18856600
12/12/2019,151.649994,153.440002,151.020004,153.240005,150.373169,24612100
12/13/2019,153,154.889999,152.830002,154.529999,151.639038,23845400
12/16/2019,155.110001,155.899994,154.820007,155.529999,152.620331,24144200
12/17/2019,155.449997,155.710007,154.449997,154.690002,151.796051,25425600
12/18/2019,154.300003,155.479996,154.179993,154.369995,151.48204,24129200
12/19/2019,154,155.770004,153.75,155.710007,152.796982,24958900
12/20/2019,157.350006,158.490005,156.289993,157.410004,154.465179,53477500
